hash,kind,schema,id,name,description,attachments,triggers,events,workitem_order,sap_operation
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",603,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",602,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",604,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",605,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",606,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",607,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",608,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",609,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",610,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",611,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",612,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",613,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",614,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",615,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",599,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",600,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",601,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",603,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",602,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",604,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",605,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",606,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",607,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",608,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",609,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",610,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",611,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",612,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",613,\N
\xfb030a8a9d0104575c4926f5e25db84952a5289cc57607eb98bc1d59446c1963,logbook,sub-assembly-workflow,25,Sigma VP Objective 80 346820-9001-100,Sigma VP Objective 80 Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",614,\N
\x49a71f0472b9cff0aad1d7854a7bd8f0c683a53b89bfe4e2673b677829a97564,logbook,sub-assembly-workflow,25,New Log Book,\N,[],\N,[],,\N
